Time,Price,BarState,LiveState,Priority,Composite,TideComp,MarketPhase,InversionActive,RatioScore,FastScore,FastDir,SlowDir,Bias,Tier3Score,CombinedTier,BearDomPct,BullDomPct,DomPriceChange,PriceChangeShort,CountBull,CountBear
56:06.3,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.6,9.8,NEUTRAL,N,19.2,24,ASK,ASK,BAL,0,0,0,0,0.75,0,3,0
56:13.1,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.8,9.7,NEUTRAL,N,20.5,30.4,ASK_STRONG,ASK,BAL,0,0,0,0,0.75,0,3,0
56:21.2,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.7,9.7,NEUTRAL,N,19.2,3,BAL,ASK,BAL,0,0,0,0,0.75,0,3,0
56:26.6,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.7,9.7,NEUTRAL,N,19.2,1.1,BAL,ASK,BAL,0,0,0,0,0.75,0,3,0
56:29.2,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.7,9.7,NEUTRAL,N,19.1,0.8,BAL,ASK,BAL,0,0,0,0,0.75,0,3,0
56:30.8,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.7,9.7,NEUTRAL,N,18.9,8.3,BAL,ASK,BAL,0,0,0,0,0.75,0,3,0
56:32.0,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.6,9.7,NEUTRAL,Y,19.4,7,BAL,ASK,BAL,0,0,0,0,0.75,0,3,0
56:33.5,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.6,9.7,NEUTRAL,Y,19.8,7.1,BAL,ASK,BAL,0,0,0,0,0.75,0,3,0
56:35.6,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.6,9.7,NEUTRAL,N,19.3,5.6,BAL,ASK,BAL,0,0,0,0,0.75,0,3,0
56:36.7,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.7,9.7,NEUTRAL,N,19.4,4.6,BAL,ASK,BAL,0,0,0,0,0.75,0,3,0
56:42.4,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.3,9.6,NEUTRAL,N,16.8,-7.9,BAL,ASK,BAL,0,0,0,0,-0.75,0,3,0
56:43.8,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.2,9.6,NEUTRAL,N,16.6,-12,BID,ASK,BAL,0,0,0,0,-0.75,0,3,0
56:47.4,7248,TICK,BullTrend,P4_VOTE_BULL,-0.2,9.6,NEUTRAL,N,19.4,-6.5,BAL,ASK,BAL,0,0,0,0,-0.25,0,3,0
56:49.8,7248,TICK,BullTrend,P4_VOTE_BULL,0,9.6,NEUTRAL,N,19.7,-5.7,BAL,ASK,BAL,0,0,0,0,-0.25,0,3,0
56:51.3,7248,TICK,BullTrend,P4_VOTE_BULL,0.5,9.9,NEUTRAL,Y,15.4,-17.9,BID,ASK,BAL,0,0,0,0,-0.25,0,3,0
56:55.4,7248,TICK,BullTrend,P4_VOTE_BULL,-0.1,9.6,NEUTRAL,N,19.5,-2.8,BAL,ASK,BAL,0,0,0,0,-0.25,0,3,0
56:57.8,7248,TICK,BullTrend,P4_VOTE_BULL,-0.1,9.6,NEUTRAL,Y,19.4,0.2,BAL,ASK,BAL,0,0,0,0,0,0,3,0
56:59.3,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.4,9.4,NEUTRAL,Y,20.5,2.3,BAL,ASK,BAL,0,0,0,0,-0.25,-0.25,3,0
57:00.6,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.5,9.4,NEUTRAL,N,21,2.7,BAL,ASK,BAL,0,0,0,0,-0.25,-0.25,3,0
