Time,Price,Lots,Side,Classification,ContributesTo,IcebergFlag,IcebergRefills,IcebergTotalVol,InversionActive,CompositePct,MarketPhase
26:08.0,7296.75,12,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,19,196,INVERT,49,NEUTRAL
26:08.2,7296.5,1,SELL,REAL_SMALL,NET,ICEBERG_BID,22,154,FACE,48.9,NEUTRAL
26:08.2,7296.5,24,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,20,220,INVERT,48.9,NEUTRAL
26:08.3,7296.25,28,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,21,248,INVERT,48.5,NEUTRAL
26:08.3,7296,2,SELL,INVERTED,NET,ICEBERG_BID,23,156,INVERT,48,NEUTRAL
26:08.6,7296.25,8,BUY,INVERTED,NET,ICEBERG_ASK,22,256,INVERT,48.1,NEUTRAL
26:08.9,7296.5,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,23,257,FACE,48.1,NEUTRAL
26:08.9,7296.5,23,SELL,INVERTED,NET+TIDE,ICEBERG_BID,24,179,INVERT,48.1,NEUTRAL
26:10.2,7296.5,20,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,24,277,INVERT,48.4,NEUTRAL
26:10.4,7296.25,33,SELL,INVERTED,NET+TIDE,ICEBERG_BID,25,212,INVERT,48.1,NEUTRAL
26:10.4,7296.25,3,BUY,INVERTED,NET,ICEBERG_ASK,25,280,INVERT,48.5,NEUTRAL
26:11.2,7296,16,SELL,INVERTED,NET+TIDE,ICEBERG_BID,26,228,INVERT,48.5,NEUTRAL
26:11.3,7296.25,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,26,281,FACE,48.8,NEUTRAL
26:11.3,7296,6,SELL,INVERTED,NET,ICEBERG_BID,27,234,INVERT,48.8,NEUTRAL
26:11.4,7296,26,BUY,INVERTED,NET+TIDE,,,,INVERT,48.9,NEUTRAL
26:11.5,7295.75,18,BUY,INVERTED,NET+TIDE,,,,INVERT,48.5,NEUTRAL
26:11.5,7295.5,3,SELL,INVERTED,NET,,,,INVERT,48.4,NEUTRAL
26:12.1,7295.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,3,45,FACE,48.8,NEUTRAL
26:12.3,7295.75,11,SELL,INVERTED,NET+TIDE,,,,INVERT,48.8,NEUTRAL
26:12.6,7295.75,9,BUY,INVERTED,NET,ICEBERG_ASK,4,54,INVERT,49.1,NEUTRAL
26:12.6,7295.5,1,SELL,REAL_SMALL,NET,,,,FACE,49,NEUTRAL
26:13.2,7295.75,16,SELL,INVERTED,NET+TIDE,ICEBERG_BID,4,31,INVERT,49,NEUTRAL
26:13.3,7296,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,5,55,FACE,49.3,NEUTRAL
26:13.3,7295.75,6,BUY,INVERTED,NET,ICEBERG_ASK,6,61,INVERT,49.3,NEUTRAL
26:13.3,7295.5,4,SELL,INVERTED,NET,ICEBERG_BID,5,35,INVERT,48.9,NEUTRAL
26:13.3,7295.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,7,62,FACE,49,NEUTRAL
26:13.6,7295.75,12,SELL,INVERTED,NET+TIDE,ICEBERG_BID,6,47,INVERT,48.9,NEUTRAL
26:13.8,7296,2,BUY,INVERTED,NET,ICEBERG_ASK,8,64,INVERT,49.1,NEUTRAL
26:14.3,7295.75,35,SELL,INVERTED,NET+TIDE,ICEBERG_BID,7,82,INVERT,49.1,NEUTRAL
26:14.5,7296,6,BUY,INVERTED,NET,ICEBERG_ASK,9,70,INVERT,49.4,NEUTRAL
26:14.5,7296,2,SELL,INVERTED,NET,ICEBERG_BID,8,84,INVERT,49.4,NEUTRAL
26:14.5,7296,20,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,10,90,INVERT,49.3,NEUTRAL
26:14.9,7296.25,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,11,91,FACE,48.7,NEUTRAL
26:15.0,7296,17,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,12,108,INVERT,49,NEUTRAL
26:15.3,7295.75,1,SELL,REAL_SMALL,NET,ICEBERG_BID,9,85,FACE,48.7,NEUTRAL
26:15.4,7296,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,13,109,FACE,48.7,NEUTRAL
26:15.4,7296,4,SELL,INVERTED,NET,ICEBERG_BID,10,89,INVERT,48.6,NEUTRAL
26:15.7,7296,4,BUY,INVERTED,NET,ICEBERG_ASK,14,113,INVERT,48.8,NEUTRAL
26:16.1,7296,18,SELL,INVERTED,NET+TIDE,ICEBERG_BID,11,107,INVERT,48.7,NEUTRAL
26:16.7,7296,20,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,15,133,INVERT,49.1,NEUTRAL
26:17.2,7296.25,13,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,16,146,INVERT,48.9,NEUTRAL
26:17.3,7296,3,SELL,INVERTED,NET,ICEBERG_BID,12,110,INVERT,48.9,NEUTRAL
26:17.7,7296.25,7,BUY,INVERTED,NET,ICEBERG_ASK,17,153,INVERT,48.5,NEUTRAL
26:18.2,7296,30,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,18,183,INVERT,48.5,NEUTRAL
26:18.2,7296,14,SELL,INVERTED,NET+TIDE,ICEBERG_BID,13,124,INVERT,48.2,NEUTRAL
26:18.4,7296.25,5,BUY,INVERTED,NET,ICEBERG_ASK,19,188,INVERT,48.1,NEUTRAL
26:19.2,7296,10,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,20,198,INVERT,48.1,NEUTRAL
26:19.4,7295.75,27,SELL,INVERTED,NET+TIDE,ICEBERG_BID,14,151,INVERT,47.5,NEUTRAL
26:19.7,7296,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,21,199,FACE,47.9,NEUTRAL
26:20.5,7296,15,SELL,INVERTED,NET+TIDE,,,,INVERT,48,NEUTRAL
26:20.9,7296.25,16,BUY,INVERTED,NET+TIDE,,,,INVERT,48.1,NEUTRAL
26:21.2,7296,23,BUY,INVERTED,NET+TIDE,,,,INVERT,47.9,NEUTRAL
26:21.2,7295.75,9,SELL,INVERTED,NET,,,,INVERT,47.6,NEUTRAL
26:21.5,7296,8,SELL,INVERTED,NET,,,,INVERT,47.7,NEUTRAL
26:21.7,7296.25,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,3,40,FACE,47.7,NEUTRAL
26:22.5,7296,10,SELL,INVERTED,NET+TIDE,,,,INVERT,47.8,NEUTRAL
26:23.0,7296.25,14,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,4,54,INVERT,47.9,NEUTRAL
26:23.4,7296,1,SELL,REAL_SMALL,NET,,,,FACE,48,NEUTRAL
26:23.7,7296.25,2,BUY,INVERTED,NET,ICEBERG_ASK,5,56,INVERT,47.7,NEUTRAL
26:23.8,7296,19,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,6,75,INVERT,47.8,NEUTRAL
26:24.6,7295.75,2,SELL,INVERTED,NET,ICEBERG_BID,5,30,INVERT,47.6,NEUTRAL
26:24.6,7295.75,9,BUY,INVERTED,NET,ICEBERG_ASK,7,84,INVERT,47.7,NEUTRAL
26:25.6,7295.75,15,SELL,INVERTED,NET+TIDE,ICEBERG_BID,6,45,INVERT,47.5,NEUTRAL
26:25.8,7296,5,BUY,INVERTED,NET,ICEBERG_ASK,8,89,INVERT,47.9,NEUTRAL
26:26.1,7296,7,SELL,INVERTED,NET,ICEBERG_BID,7,52,INVERT,48,NEUTRAL
26:26.2,7296,16,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,9,105,INVERT,48,NEUTRAL
